;Unnamed: 0;algorithm;mse;rmse;r2;adj_r2;mae
39;39;air_transport/word2vec_cbow_10000000_100,txt;22523126,41;4745,85;0,1075;1,8575;3666,37
40;40;air_transport/word2vec_cbow_10000000_100,txt;22747384,57;4769,42;0,0986;1,866;3567,41
41;41;air_transport/word2vec_cbow_10000000_100,txt;21794685,81;4668,48;0,1364;1,8298;3562,75
42;42;air_transport/word2vec_cbow_10000000_100,txt;21808427,97;4669,95;0,1358;1,8303;3566,57
43;43;air_transport/word2vec_cbow_10000000_100,txt;22359263,2;4728,56;0,114;1,8513;3652,02
44;44;air_transport/word2vec_cbow_10000000_100,txt;20913645,16;4573,14;0,1713;1,7962;3480,28
45;45;air_transport/word2vec_cbow_10000000_100,txt;22092703,33;4700,29;0,1246;1,8411;3627,72
46;46;air_transport/word2vec_cbow_10000000_100,txt;22554157,75;4749,12;0,1063;1,8587;3582,59
47;47;air_transport/word2vec_cbow_10000000_100,txt;21873847,43;4676,95;0,1332;1,8328;3550,32
48;48;air_transport/word2vec_cbow_10000000_100,txt;22580804,94;4751,93;0,1052;1,8597;3655,31
49;49;air_transport/word2vec_cbow_10000000_100,txt;23304438,43;4827,47;0,0765;1,8872;3653,53
0;0;air_transport/word2vec_cbow_10000000_100,txt;21843202,35;4673,67;0,077;1,8868;3972,68
1;1;air_transport/word2vec_cbow_10000000_100,txt;22148127,55;4706,18;0,0641;1,8992;4009,14
2;2;air_transport/word2vec_cbow_10000000_100,txt;21082368,11;4591,55;0,1091;1,8559;3904,28
3;3;air_transport/word2vec_cbow_10000000_100,txt;22335255,68;4726,02;0,0562;1,9068;3982,57
4;4;air_transport/word2vec_cbow_10000000_100,txt;22132667,24;4704,54;0,0647;1,8986;3940,59
5;5;air_transport/word2vec_cbow_10000000_100,txt;22262597,37;4718,33;0,0592;1,9039;3943,43
6;6;air_transport/word2vec_cbow_10000000_100,txt;21485447,03;4635,24;0,0921;1,8723;3949,73
7;7;air_transport/word2vec_cbow_10000000_100,txt;21936188,52;4683,61;0,073;1,8906;3907,74
8;8;air_transport/word2vec_cbow_10000000_100,txt;22498322,96;4743,24;0,0493;1,9134;4002,97
9;9;air_transport/word2vec_cbow_10000000_100,txt;21292617,83;4614,39;0,1002;1,8645;3919,07
10;10;air_transport/word2vec_cbow_10000000_100,txt;21453788,62;4631,82;0,0934;1,871;3909,09
11;11;air_transport/word2vec_cbow_10000000_100,txt;21673392,68;4655,47;0,0841;1,8799;3950,83
12;12;air_transport/word2vec_cbow_10000000_100,txt;21349525,71;4620,55;0,0978;1,8668;3936,27
13;13;air_transport/word2vec_cbow_10000000_100,txt;21758801,03;4664,63;0,0805;1,8834;3964,3
14;14;air_transport/word2vec_cbow_10000000_100,txt;21811082,38;4670,23;0,0783;1,8855;3964,18
15;15;air_transport/word2vec_cbow_10000000_100,txt;22057941,19;4696,59;0,0679;1,8956;4007,9
16;16;air_transport/word2vec_cbow_10000000_100,txt;21162002,68;4600,22;0,1058;1,8592;3917,22
17;17;air_transport/word2vec_cbow_10000000_100,txt;20987444,48;4581,21;0,1131;1,8521;3908,53
